pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 282, 282, 0, 0
2, 125, 203, 133, 0
3, 171, 192, 114, 0
4, 676, 313, 93, 0
5, 139, 278, 92, 0
6, 175, 261, 112, 0
7, 196, 252, 118, 0
8, 140, 238, 60, 0
9, 175, 231, 58, 0
10, 182, 226, 57, 0
11, 144, 218, 57, 0
12, 153, 213, 57, 0
13, 152, 208, 57, 0
14, 130, 202, 57, 0
15, 142, 198, 57, 0
16, 218, 200, 115, 0
17, 92, 193, 208, 0
18, 97, 188, 58, 0
19, 207, 189, 57, 0
20, 135, 186, 57, 0
21, 247, 189, 83, 0
22, 132, 186, 62, 0
23, 229, 188, 60, 0
24, 139, 186, 57, 0
25, 137, 184, 57, 0
26, 301, 189, 85, 0
27, 84, 185, 72, 0
28, 140, 183, 57, 0
29, 165, 182, 57, 0
30, 92, 179, 58, 0
31, 276, 183, 88, 0
32, 132, 181, 62, 0
33, 122, 179, 57, 0
34, 137, 178, 57, 0
35, 141, 177, 57, 0
36, 193, 177, 57, 0
37, 274, 180, 91, 0
38, 132, 179, 62, 0
39, 136, 177, 57, 0
40, 128, 176, 57, 0
41, 260, 178, 57, 0
42, 222, 179, 122, 0
43, 92, 177, 119, 0
44, 940, 195, 58, 0
45, 220, 195, 71, 0
46, 283, 197, 60, 0
47, 309, 199, 80, 0
48, 225, 200, 62, 0
49, 222, 200, 71, 0
50, 228, 201, 57, 0
51, 235, 202, 57, 0
52, 221, 202, 57, 0
53, 215, 202, 57, 0
54, 184, 202, 62, 0
55, 224, 202, 57, 0
56, 236, 203, 59, 0
57, 174, 202, 57, 0
58, 214, 202, 57, 0
59, 174, 202, 57, 0
60, 303, 204, 79, 0
61, 221, 204, 62, 0
62, 225, 204, 57, 0
63, 208, 204, 57, 0
64, 225, 205, 57, 0
65, 226, 205, 57, 0
66, 210, 205, 57, 0
67, 192, 205, 57, 0
68, 343, 207, 86, 0
69, 215, 207, 62, 0
70, 183, 207, 68, 0
71, 227, 207, 58, 0
72, 325, 209, 86, 0
73, 239, 209, 62, 0
74, 182, 209, 57, 0
75, 231, 209, 57, 0
