pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 406, 406, 0, 500
2, 395, 400, 725, 500
3, 352, 384, 611, 500
4, 308, 365, 755, 500
5, 368, 365, 636, 500
6, 363, 365, 784, 500
7, 297, 355, 1648, 500
8, 164, 331, 577, 500
9, 142, 310, 570, 500
10, 141, 293, 572, 500
11, 149, 280, 573, 500
12, 83, 264, 563, 500
13, 128, 253, 585, 500
14, 244, 252, 635, 500
15, 261, 253, 615, 500
16, 85, 242, 570, 500
17, 84, 233, 564, 500
18, 68, 224, 559, 500
19, 49, 215, 605, 500
20, 62, 207, 557, 500
21, 293, 211, 25, 500
22, 214, 211, 1513, 500
23, 73, 205, 568, 500
24, 57, 199, 560, 500
25, 58, 193, 564, 500
26, 82, 189, 623, 500
27, 88, 185, 562, 500
28, 104, 182, 564, 500
29, 247, 185, 576, 500
30, 221, 186, 601, 500
31, 234, 187, 615, 500
32, 209, 188, 624, 500
33, 162, 187, 572, 500
34, 113, 185, 570, 500
35, 102, 183, 566, 500
36, 105, 180, 565, 500
37, 159, 180, 566, 500
38, 110, 178, 566, 500
39, 107, 176, 565, 500
40, 113, 175, 562, 500
41, 112, 173, 563, 500
42, 260, 175, 8, 500
43, 77, 173, 567, 500
44, 245, 174, 582, 500
45, 249, 176, 592, 500
46, 244, 177, 643, 500
47, 226, 179, 829, 500
48, 155, 178, 570, 500
49, 269, 180, 621, 500
50, 226, 181, 578, 500
51, 169, 181, 581, 500
52, 250, 182, 617, 500
53, 215, 182, 623, 500
54, 224, 183, 667, 500
55, 273, 185, 612, 500
56, 277, 186, 626, 500
57, 251, 188, 625, 500
58, 250, 189, 8, 500
59, 117, 187, 733, 500
60, 238, 188, 571, 500
61, 71, 186, 599, 500
62, 229, 187, 11, 500
63, 264, 188, 8, 500
64, 68, 186, 560, 500
65, 58, 184, 606, 500
66, 56, 182, 606, 500
67, 210, 183, 576, 500
68, 63, 181, 584, 500
69, 152, 181, 978, 500
70, 94, 179, 566, 500
71, 102, 178, 565, 500
72, 77, 177, 561, 500
73, 89, 176, 563, 500
74, 262, 177, 620, 500
75, 255, 178, 575, 500
76, 263, 179, 593, 500
77, 102, 178, 790, 500
78, 145, 178, 6, 500
79, 246, 178, 573, 500
80, 258, 179, 622, 500
81, 241, 180, 6, 500
82, 68, 179, 567, 500
83, 270, 180, 615, 500
84, 228, 180, 696, 500
85, 59, 179, 616, 500
86, 61, 178, 558, 500
87, 56, 176, 557, 500
88, 135, 176, 6, 500
89, 78, 175, 574, 500
90, 67, 173, 607, 500
91, 241, 174, 573, 500
92, 82, 173, 565, 500
93, 90, 172, 563, 500
94, 103, 172, 561, 500
95, 150, 171, 3, 500
96, 221, 172, 573, 500
97, 125, 171, 567, 500
98, 115, 171, 566, 500
99, 204, 171, 570, 500
100, 109, 170, 589, 500
101, 91, 170, 563, 500
102, 148, 169, 7, 500
103, 73, 168, 571, 500
104, 251, 169, 6, 500
105, 251, 170, 580, 500
106, 102, 169, 596, 500
107, 82, 169, 563, 500
108, 74, 168, 561, 500
109, 84, 167, 559, 500
110, 235, 168, 569, 500
111, 99, 167, 571, 500
112, 93, 166, 562, 500
113, 189, 166, 10, 500
114, 207, 167, 6, 500
115, 104, 166, 678, 500
116, 115, 166, 682, 500
117, 119, 165, 565, 500
118, 115, 165, 738, 500
119, 167, 165, 11, 500
120, 136, 165, 596, 500
121, 91, 164, 563, 500
122, 80, 163, 552, 500
123, 199, 164, 8, 500
124, 89, 163, 568, 500
125, 217, 164, 7, 500
126, 194, 164, 7, 500
127, 199, 164, 616, 500
128, 110, 164, 567, 500
129, 102, 163, 564, 500
130, 102, 163, 572, 500
