pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 59396, 59396, 0, 0
2, 463269, 261332, 138, 0
3, 516072, 346245, 104, 0
4, 519722, 389614, 108, 0
5, 511911, 414074, 108, 0
6, 515852, 431037, 116, 0
7, 516054, 443182, 112, 0
8, 519725, 452750, 111, 0
9, 511865, 459318, 105, 0
10, 515874, 464974, 108, 0
11, 515966, 469609, 106, 0
12, 515897, 473466, 105, 0
13, 515872, 476728, 93, 0
14, 511884, 479239, 104, 0
15, 515994, 481690, 79, 0
16, 515990, 483833, 103, 0
17, 515882, 485719, 114, 0
18, 511878, 487172, 123, 0
19, 515895, 488684, 107, 0
20, 515873, 490043, 113, 0
21, 515891, 491274, 113, 0
22, 511729, 492204, 103, 0
23, 516061, 493241, 114, 0
24, 515873, 494184, 116, 0
25, 515886, 495052, 112, 0
26, 511881, 495699, 114, 0
27, 515893, 496447, 106, 0
28, 515882, 497141, 111, 0
29, 515881, 497787, 114, 0
30, 511882, 498257, 114, 0
31, 468968, 497312, 112, 0
32, 566645, 499479, 117, 0
33, 516039, 499981, 108, 0
34, 511868, 500330, 128, 0
35, 515891, 500775, 112, 0
36, 515782, 501192, 108, 0
37, 515883, 501589, 126, 0
38, 511460, 501849, 113, 0
39, 514859, 502182, 107, 0
40, 514363, 502487, 101, 0
41, 512371, 502728, 74, 0
42, 512454, 502959, 108, 0
43, 513633, 503208, 115, 0
44, 515327, 503483, 105, 0
45, 513242, 503700, 114, 0
46, 512377, 503888, 108, 0
47, 513443, 504092, 115, 0
48, 515567, 504331, 120, 0
49, 513476, 504517, 100, 0
50, 511507, 504657, 124, 0
51, 514034, 504841, 114, 0
52, 688036, 508364, 114, 0
53, 514075, 508472, 111, 0
54, 515437, 508601, 115, 0
55, 516066, 508736, 114, 0
56, 515750, 508862, 161, 0
57, 514397, 508959, 109, 0
58, 514591, 509056, 115, 0
59, 515112, 509159, 103, 0
60, 516032, 509273, 108, 0
61, 513322, 509339, 112, 0
62, 514629, 509425, 111, 0
63, 555594, 510158, 91, 0
64, 527704, 510432, 109, 0
65, 516010, 510518, 114, 0
66, 515951, 510600, 113, 0
67, 523647, 510795, 107, 0
68, 524166, 510991, 68, 0
69, 519881, 511120, 111, 0
70, 515738, 511186, 112, 0
71, 523890, 511365, 115, 0
72, 524037, 511541, 102, 0
73, 523730, 511708, 108, 0
74, 515836, 511764, 122, 0
75, 519933, 511873, 103, 0
76, 520025, 511980, 133, 0
77, 523753, 512133, 114, 0
78, 516013, 512183, 108, 0
79, 519758, 512278, 115, 0
80, 524005, 512425, 122, 0
81, 519781, 512516, 111, 0
82, 515993, 512558, 109, 0
83, 519889, 512646, 112, 0
84, 519885, 512733, 115, 0
85, 523771, 512863, 107, 0
86, 515994, 512899, 115, 0
87, 519663, 512977, 127, 0
88, 520132, 513058, 75, 0
89, 519749, 513133, 113, 0
90, 519850, 513208, 116, 0
91, 520057, 513283, 109, 0
92, 519753, 513353, 113, 0
93, 519915, 513424, 112, 0
94, 519982, 513494, 110, 0
95, 519891, 513561, 112, 0
96, 519840, 513626, 115, 0
97, 515945, 513650, 94, 0
98, 519878, 513714, 108, 0
99, 519907, 513776, 106, 0
100, 519884, 513837, 112, 0
101, 519788, 513896, 105, 0
102, 515845, 513915, 111, 0
103, 519961, 513974, 113, 0
104, 519946, 514032, 120, 0
105, 523897, 514126, 104, 0
106, 515890, 514142, 103, 0
107, 519799, 514195, 105, 0
108, 519826, 514247, 115, 0
109, 520059, 514300, 87, 0
110, 515892, 514315, 109, 0
111, 519747, 514364, 104, 0
112, 519867, 514413, 114, 0
113, 520080, 514463, 78, 0
114, 515752, 514474, 105, 0
115, 519841, 514521, 130, 0
116, 520066, 514569, 100, 0
117, 519851, 514614, 146, 0
118, 515848, 514625, 114, 0
119, 515815, 514635, 115, 0
120, 519876, 514678, 118, 0
121, 519890, 514721, 111, 0
122, 519830, 514763, 109, 0
123, 500331, 514646, 107, 0
124, 539441, 514846, 83, 0
125, 515853, 514854, 123, 0
126, 520028, 514895, 82, 0
127, 515956, 514903, 116, 0
128, 519668, 514940, 355, 0
129, 519867, 514979, 107, 0
130, 515957, 514986, 75, 0
131, 519887, 515024, 108, 0
132, 519748, 515059, 100, 0
133, 516026, 515067, 117, 0
134, 519796, 515102, 106, 0
135, 515970, 515108, 119, 0
136, 523826, 515172, 114, 0
137, 519773, 515206, 114, 0
138, 516037, 515212, 128, 0
139, 515782, 515216, 107, 0
140, 519993, 515250, 112, 0
141, 519763, 515282, 108, 0
142, 519920, 515315, 93, 0
143, 515844, 515319, 114, 0
144, 520075, 515352, 78, 0
145, 515659, 515354, 115, 0
146, 519964, 515385, 105, 0
147, 511885, 515361, 115, 0
148, 519959, 515393, 107, 0
149, 519855, 515422, 125, 0
150, 519850, 515452, 115, 0
151, 515847, 515455, 107, 0
152, 488835, 515279, 90, 0
153, 547134, 515488, 110, 0
154, 519716, 515515, 107, 0
155, 516059, 515519, 112, 0
156, 519891, 515547, 108, 0
157, 469692, 515255, 113, 0
158, 566004, 515576, 86, 0
159, 516002, 515578, 101, 0
160, 519882, 515605, 112, 0
161, 515879, 515607, 111, 0
162, 519892, 515634, 107, 0
163, 515796, 515634, 105, 0
164, 518089, 515649, 109, 0
165, 517249, 515659, 121, 0
166, 517590, 515671, 123, 0
167, 515442, 515669, 113, 0
168, 514912, 515665, 114, 0
169, 516335, 515669, 81, 0
170, 516899, 515676, 150, 0
171, 514943, 515672, 121, 0
172, 514534, 515665, 116, 0
173, 516507, 515670, 110, 0
174, 515660, 515670, 190, 0
175, 514325, 515662, 116, 0
176, 514652, 515657, 116, 0
177, 516302, 515660, 108, 0
178, 517075, 515668, 114, 0
179, 515118, 515665, 208, 0
180, 515469, 515664, 114, 0
181, 516989, 515671, 110, 0
182, 517426, 515681, 118, 0
183, 514951, 515677, 116, 0
