pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 58099, 58099, 0, 1000000
2, 57942, 58020, 1000432, 1000000
3, 59306, 58449, 1000468, 1000000
4, 58520, 58466, 1000367, 1000000
5, 57236, 58220, 1000237, 1000000
6, 57128, 58038, 1000314, 1000000
7, 59592, 58260, 1000458, 1000000
8, 58256, 58259, 1000408, 1000000
9, 57899, 58219, 1000299, 1000000
10, 57470, 58144, 1000281, 1000000
11, 58308, 58159, 1000265, 1000000
12, 57292, 58087, 1000267, 1000000
13, 59604, 58204, 1000204, 1000000
14, 58321, 58212, 1000425, 1000000
15, 58100, 58204, 1000419, 1000000
16, 58031, 58194, 1000228, 1000000
17, 57543, 58155, 1000214, 1000000
18, 58021, 58148, 1000240, 1000000
19, 57992, 58140, 1000361, 1000000
20, 59434, 58204, 1000420, 1000000
21, 1292, 55494, 1000305, 1000000
22, 57722, 55595, 1000234, 1000000
23, 58249, 55711, 1000191, 1000000
24, 57410, 55781, 1000407, 1000000
25, 58222, 55879, 1000405, 1000000
26, 57342, 55935, 1000401, 1000000
27, 59375, 56063, 1000372, 1000000
28, 58108, 56136, 1000386, 1000000
29, 58374, 56213, 1000266, 1000000
30, 58190, 56279, 1000267, 1000000
31, 57131, 56306, 1000407, 1000000
32, 58040, 56360, 1000294, 1000000
33, 57040, 56381, 1000412, 1000000
34, 59375, 56469, 1000308, 1000000
35, 76324, 57036, 1000273, 1000000
36, 58080, 57065, 1000414, 1000000
37, 58240, 57097, 1000296, 1000000
38, 57974, 57120, 1000409, 1000000
39, 58125, 57146, 1000294, 1000000
40, 59439, 57203, 1000263, 1000000
41, 57265, 57205, 1000328, 1000000
42, 57139, 57203, 1000198, 1000000
43, 58441, 57232, 1000411, 1000000
44, 58255, 57255, 1000365, 1000000
45, 58206, 57276, 1000385, 1000000
46, 58255, 57297, 1000423, 1000000
47, 59204, 57338, 1000413, 1000000
48, 57838, 57348, 1000396, 1000000
49, 57305, 57348, 1000294, 1000000
50, 58245, 57365, 1000457, 1000000
51, 58060, 57379, 1000322, 1000000
52, 58147, 57394, 1000261, 1000000
53, 58014, 57406, 1000229, 1000000
54, 1258, 56366, 1000313, 1000000
55, 57504, 56386, 1000398, 1000000
56, 56983, 56397, 1000369, 1000000
57, 57922, 56424, 1000210, 1000000
58, 58087, 56453, 1000308, 1000000
59, 58004, 56479, 1000406, 1000000
60, 57779, 56500, 1000402, 1000000
61, 58730, 56537, 1000416, 1000000
62, 57210, 56548, 1000313, 1000000
63, 57625, 56565, 1000276, 1000000
64, 58388, 56593, 1000275, 1000000
65, 433330, 62389, 1000234, 1000000
66, 59116, 62340, 1000419, 1000000
67, 57810, 62272, 1000331, 1000000
68, 98142, 62800, 1000178, 1000000
69, 58358, 62735, 1000235, 1000000
70, 57025, 62654, 1000407, 1000000
71, 58246, 62592, 1000243, 1000000
72, 57612, 62522, 1000369, 1000000
73, 57782, 62457, 1000429, 1000000
74, 58040, 62398, 1000377, 1000000
75, 59450, 62358, 1000412, 1000000
76, 58386, 62306, 1000379, 1000000
77, 57352, 62242, 1000429, 1000000
78, 58000, 62187, 1000383, 1000000
79, 57780, 62132, 1000423, 1000000
80, 58062, 62081, 1000409, 1000000
81, 58041, 62031, 1000413, 1000000
82, 60358, 62010, 1000364, 1000000
83, 59086, 61975, 1000421, 1000000
84, 56788, 61913, 1000242, 1000000
85, 58326, 61871, 1000167, 1000000
86, 57514, 61821, 1000406, 1000000
87, 1261, 61125, 1000203, 1000000
88, 58267, 61092, 1000384, 1000000
89, 59792, 61077, 1000312, 1000000
90, 59323, 61058, 1000408, 1000000
91, 57293, 61017, 1000419, 1000000
92, 58076, 60985, 1000267, 1000000
93, 57526, 60947, 1000419, 1000000
94, 58530, 60922, 1000413, 1000000
95, 58134, 60892, 1000360, 1000000
96, 59563, 60878, 1000414, 1000000
97, 59219, 60861, 1000410, 1000000
98, 57170, 60824, 1000408, 1000000
99, 58187, 60797, 1000339, 1000000
100, 57663, 60766, 1000311, 1000000
101, 76921, 60926, 1000307, 1000000
102, 57808, 60895, 1000297, 1000000
103, 58053, 60867, 1000144, 1000000
104, 59396, 60853, 1000409, 1000000
105, 57088, 60817, 1000372, 1000000
106, 57265, 60784, 1000285, 1000000
107, 59371, 60771, 1000373, 1000000
108, 58096, 60746, 1000386, 1000000
109, 57976, 60721, 1000364, 1000000
110, 58125, 60697, 1000424, 1000000
111, 59411, 60685, 1000404, 1000000
112, 57314, 60655, 1000352, 1000000
113, 57480, 60627, 1000413, 1000000
114, 59269, 60615, 1000401, 1000000
115, 58244, 60595, 1000306, 1000000
116, 57971, 60572, 1000421, 1000000
117, 58361, 60553, 1000400, 1000000
118, 59368, 60543, 1000369, 1000000
119, 57075, 60514, 1000214, 1000000
120, 1332, 60021, 1000191, 1000000
121, 59040, 60013, 1000266, 1000000
122, 58250, 59998, 1000415, 1000000
123, 57910, 59981, 1000204, 1000000
