pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 58267, 58267, 0, 0
2, 419458, 238862, 158, 10000
3, 505925, 327883, 10166, 20000
4, 491818, 368867, 20088, 30000
5, 485725, 392238, 30269, 40000
6, 471734, 405487, 40267, 50000
7, 461839, 413538, 50262, 60000
8, 455717, 418810, 60273, 70000
9, 445875, 421817, 70125, 80000
10, 431862, 422822, 80136, 90000
11, 421839, 422732, 90157, 100000
12, 415702, 422146, 100172, 110000
13, 401972, 420594, 110159, 120000
14, 395777, 418822, 120118, 130000
15, 381931, 416362, 130159, 140000
16, 371723, 413572, 140144, 150000
17, 365936, 410770, 150095, 160000
18, 355804, 407716, 160164, 170000
19, 341713, 404243, 170273, 180000
20, 331752, 400618, 180183, 190000
21, 325942, 397062, 190261, 200000
22, 311816, 393187, 200180, 210000
23, 301681, 389209, 210147, 220000
24, 295963, 385323, 220088, 230000
25, 281843, 381184, 230270, 240000
26, 275748, 377129, 240096, 250000
27, 261876, 372860, 250266, 260000
28, 251564, 368528, 260270, 270000
29, 245769, 364295, 270264, 280000
30, 231990, 359885, 280140, 290000
31, 225823, 355560, 290166, 300000
32, 211922, 351072, 300083, 310000
33, 205899, 346672, 310098, 320000
34, 191602, 342111, 320269, 330000
35, 162733, 336986, 330170, 340000
36, 194848, 333038, 340273, 350000
37, 165823, 328519, 350267, 360000
38, 151728, 323866, 360274, 370000
39, 141717, 319196, 370273, 380000
40, 135736, 314609, 380268, 390000
41, 125732, 310003, 390268, 400000
42, 111723, 305282, 400114, 410000
43, 101961, 300553, 410093, 420000
44, 99956, 295994, 420138, 430000
45, 97647, 291586, 430184, 440000
46, 99848, 287418, 440323, 450000
47, 97662, 283381, 450209, 460000
48, 99776, 279556, 460213, 470000
49, 97833, 275847, 470187, 480000
50, 99921, 272329, 480182, 490000
51, 97680, 268904, 490310, 500000
52, 99793, 265652, 500210, 510000
53, 97583, 262481, 510262, 520000
54, 99949, 259471, 520201, 530000
55, 97783, 256531, 530187, 540000
56, 99647, 253730, 540221, 550000
57, 97929, 250996, 550098, 560000
58, 99846, 248390, 560272, 570000
59, 97671, 245836, 570330, 580000
60, 99387, 243395, 580474, 590000
61, 98029, 241012, 590112, 600000
62, 99748, 238733, 600243, 610000
63, 97729, 236495, 610266, 620000
64, 99690, 234358, 620100, 630000
65, 97802, 232257, 630317, 640000
66, 99768, 230249, 640322, 650000
67, 97846, 228273, 650149, 660000
68, 99667, 226382, 660321, 670000
69, 96813, 224504, 670090, 680000
70, 96833, 222680, 680270, 690000
71, 97636, 220919, 690260, 700000
72, 35946, 218350, 700220, 710000
73, 97677, 216697, 710092, 720000
74, 99840, 215118, 720314, 730000
75, 97740, 213553, 730266, 740000
76, 99712, 212055, 740278, 750000
77, 101634, 210621, 750173, 760000
78, 99868, 209201, 760318, 770000
79, 97578, 207788, 770261, 780000
80, 99797, 206438, 780219, 790000
81, 489835, 209937, 790214, 800000
82, 57604, 208079, 800317, 810000
83, 58446, 206276, 810319, 820000
84, 59081, 204524, 820320, 830000
85, 58281, 202803, 830267, 840000
86, 57433, 201113, 840313, 850000
87, 57620, 199464, 850216, 860000
88, 99584, 198329, 860273, 870000
89, 57383, 196745, 870212, 880000
90, 58278, 195206, 880241, 890000
91, 58900, 193708, 890144, 900000
92, 58483, 192239, 900210, 910000
93, 57063, 190785, 910321, 920000
94, 57813, 189371, 920314, 930000
95, 98180, 188411, 930320, 940000
96, 57318, 187045, 940126, 950000
97, 58152, 185716, 950142, 960000
98, 59646, 184430, 960210, 970000
99, 100201, 183579, 970166, 980000
100, 57304, 182316, 980096, 990000
101, 57963, 181085, 990166, 1000000
102, 57935, 179878, 1000337, 1010000
103, 57582, 178690, 1010176, 1020000
104, 59145, 177541, 1020415, 1030000
105, 59451, 176416, 1030481, 1040000
106, 58512, 175304, 1040420, 1050000
107, 57176, 174200, 1050538, 1060000
108, 1243, 172598, 1060275, 1070000
